t,observation
0.0,1.037986397743225
0.0033444815780967474,0.9859008193016052
0.006688963156193495,0.9795185923576355
0.010033444501459599,0.8911579847335815
0.01337792631238699,0.8610479235649109
0.016722407191991806,0.7996606230735779
0.020066889002919197,0.7181233167648315
0.023411370813846588,0.6092036962509155
0.02675585262477398,0.5337329506874084
0.03010033443570137,0.3811645805835724
0.03344481438398361,0.28741174936294556
0.03678929805755615,0.1899051070213318
0.040133778005838394,0.05787787213921547
0.043478261679410934,-0.0541892871260643
0.046822741627693176,-0.14329794049263
0.05016722530126572,-0.27642327547073364
0.05351170524954796,-0.36564281582832336
0.0568561851978302,-0.42127159237861633
0.06020066887140274,-0.5256490707397461
0.06354515254497528,-0.6069812774658203
0.06688962876796722,-0.6156249642372131
0.07023411244153976,-0.6991150379180908
0.0735785961151123,-0.7071292996406555
0.07692307978868484,-0.7133930921554565
0.08026755601167679,-0.7194915413856506
0.08361203968524933,-0.7139654755592346
0.08695652335882187,-0.7147523760795593
0.09030099958181381,-0.6694456934928894
0.09364548325538635,-0.5827236771583557
0.09698996692895889,-0.5803027153015137
0.10033445060253143,-0.48684412240982056
0.10367892682552338,-0.4317801296710968
0.10702341049909592,-0.35374221205711365
0.11036789417266846,-0.2677461504936218
0.1137123703956604,-0.16302481293678284
0.11705685406923294,-0.08667317777872086
0.12040133774280548,0.0005857925862073898
0.12374582141637802,0.03936970233917236
0.12709030508995056,0.16647294163703918
0.1304347813129425,0.20943446457386017
0.13377925753593445,0.277885764837265
0.13712374866008759,0.29933884739875793
0.14046822488307953,0.38273724913597107
0.14381270110607147,0.4435155391693115
0.1471571922302246,0.4830091595649719
0.15050166845321655,0.5083073377609253
0.1538461595773697,0.5688031315803528
0.15719063580036163,0.5647739768028259
0.16053511202335358,0.5295805931091309
0.1638796031475067,0.5251971483230591
0.16722407937049866,0.5301411151885986
0.1705685555934906,0.48731690645217896
0.17391304671764374,0.4166226089000702
0.17725752294063568,0.39409396052360535
0.18060199916362762,0.3550681471824646
0.18394649028778076,0.24911871552467346
0.1872909665107727,0.22601644694805145
0.19063544273376465,0.16553528606891632
0.19397993385791779,0.0928499773144722
0.19732441008090973,0.05142427608370781
0.20066890120506287,0.015966806560754776
0.2040133774280548,-0.06859908998012543
0.20735785365104675,-0.14269745349884033
0.2107023447751999,-0.16477259993553162
0.21404682099819183,-0.22123222053050995
0.21739129722118378,-0.2932491898536682
0.22073578834533691,-0.30658531188964844
0.22408026456832886,-0.313753604888916
0.2274247407913208,-0.34899264574050903
0.23076923191547394,-0.3838784694671631
0.23411370813846588,-0.41735997796058655
0.23745819926261902,-0.3938371241092682
0.24080267548561096,-0.40282899141311646
0.2441471517086029,-0.35214194655418396
0.24749164283275604,-0.38266587257385254
0.2508361041545868,-0.29852014780044556
0.2541806101799011,-0.2864912450313568
0.25752508640289307,-0.2569986581802368
0.260869562625885,-0.2388463318347931
0.26421403884887695,-0.18270254135131836
0.2675585150718689,-0.14094404876232147
0.2709030210971832,-0.11217756569385529
0.27424749732017517,-0.03820641338825226
0.2775919735431671,-0.048804935067892075
0.28093644976615906,0.031310491263866425
0.284280925989151,0.037256572395563126
0.28762540221214294,0.11028113216161728
0.2909699082374573,0.15648971498012543
0.2943143844604492,0.14213895797729492
0.29765886068344116,0.17922207713127136
0.3010033369064331,0.2140650898218155
0.30434781312942505,0.26989778876304626
0.3076923191547394,0.2736547887325287
0.3110367953777313,0.2732269763946533
0.31438127160072327,0.26825428009033203
0.3177257478237152,0.23486627638339996
0.32107022404670715,0.2723788022994995
0.3244147002696991,0.24513569474220276
0.3277592062950134,0.22991621494293213
